Domain,Predicted,Actual
-9.42478,-0.141049,-3.67382e-16
-9.37478,-0.144249,-0.0499792
-9.32478,-0.149427,-0.0998334
-9.27478,-0.157406,-0.149438
-9.22478,-0.169492,-0.198669
-9.17478,-0.187779,-0.247404
-9.12478,-0.215565,-0.29552
-9.07478,-0.25765,-0.342898
-9.02478,-0.319528,-0.389418
-8.97478,-0.403413,-0.434966
-8.92478,-0.500971,-0.479426
-8.87478,-0.592515,-0.522687
-8.82478,-0.661704,-0.564642
-8.77478,-0.7072,-0.605186
-8.72478,-0.73667,-0.644218
-8.67478,-0.757664,-0.681639
-8.62478,-0.774677,-0.717356
-8.57478,-0.789739,-0.75128
-8.52478,-0.803529,-0.783327
-8.47478,-0.816143,-0.813416
-8.42478,-0.827496,-0.841471
-8.37478,-0.837501,-0.867423
-8.32478,-0.84613,-0.891207
-8.27478,-0.853415,-0.912764
-8.22478,-0.859433,-0.932039
-8.17478,-0.864281,-0.948985
-8.12478,-0.868057,-0.963558
-8.07478,-0.870852,-0.975723
-8.02478,-0.872738,-0.98545
-7.97478,-0.873773,-0.992713
-7.92478,-0.873995,-0.997495
-7.87478,-0.873427,-0.999784
-7.82478,-0.87208,-0.999574
-7.77478,-0.869951,-0.996865
-7.72478,-0.867027,-0.991665
-7.67478,-0.863284,-0.983986
-7.62478,-0.858689,-0.973848
-7.57478,-0.853197,-0.961275
-7.52478,-0.846753,-0.9463
-7.47478,-0.839292,-0.92896
-7.42478,-0.830735,-0.909297
-7.37478,-0.82099,-0.887362
-7.32478,-0.80995,-0.863209
-7.27478,-0.797495,-0.836899
-7.22478,-0.783485,-0.808496
-7.17478,-0.767767,-0.778073
-7.12478,-0.750166,-0.745705
-7.07478,-0.730495,-0.711473
-7.02478,-0.708547,-0.675463
-6.97478,-0.684106,-0.637765
-6.92478,-0.656945,-0.598472
-6.87478,-0.626834,-0.557684
-6.82478,-0.59355,-0.515501
-6.77478,-0.556887,-0.472031
-6.72478,-0.516668,-0.42738
-6.67478,-0.472764,-0.381661
-6.62478,-0.425108,-0.334988
-6.57478,-0.373718,-0.287478
-6.52478,-0.318711,-0.239249
-6.47478,-0.26032,-0.190423
-6.42478,-0.198898,-0.14112
-6.37478,-0.134929,-0.0914646
-6.32478,-0.0690107,-0.0415807
-6.27478,-0.00184015,0.00840725
